gene,total_wt1_IFNb,total_wt1,total_wt2_IFNb,total_wt2,total_wt3_IFNb,total_wt3,total_wt4_IFNb,total_wt4
ENSMUSG00000094926,0,0,0,0,0,0,0,0
ENSMUSG00000085079,0,0,0,0,0,0,0,0
ENSMUSG00000085679,0,0,0,0,0,0,0,0
ENSMUSG00000028033,100,131,100,124,105,46,61,148
ENSMUSG00000104138,0,0,0,0,0,0,0,0
ENSMUSG00000082935,0,3,4,0,3,0,0,0
ENSMUSG00000103748,0,0,0,0,0,1,0,1
ENSMUSG00000099692,0,0,0,0,0,0,0,0
ENSMUSG00000100418,1,0,0,0,0,0,0,0
ENSMUSG00000041670,9,22,18,23,7,5,8,13
ENSMUSG00000097642,0,0,0,0,0,0,0,1
ENSMUSG00000101468,0,0,0,0,0,0,0,0
ENSMUSG00000101227,1,1,0,0,1,0,0,2
ENSMUSG00000073730,0,0,1,0,3,0,0,1
ENSMUSG00000089553,0,0,0,0,0,0,0,0
ENSMUSG00000102766,0,0,0,0,1,0,2,0
ENSMUSG00000065405,0,0,0,0,0,0,0,0
ENSMUSG00000097970,1,1,0,0,0,0,6,2
ENSMUSG00000065567,0,0,0,0,0,0,0,0
ENSMUSG00000100775,0,0,1,0,0,0,0,1
ENSMUSG00000101226,0,0,0,0,0,0,0,0
ENSMUSG00000026158,94,84,99,95,98,15,74,79
ENSMUSG00000097920,7,10,4,2,6,1,0,2
ENSMUSG00000099503,0,0,0,0,0,0,0,0
ENSMUSG00000026156,9,38,7,41,14,11,12,29
ENSMUSG00000026155,345,271,302,255,266,62,168,225
ENSMUSG00000026154,88,81,86,56,145,17,62,63
ENSMUSG00000102495,1,0,0,1,2,0,0,0
ENSMUSG00000026153,203,163,193,165,295,18,119,171
ENSMUSG00000102398,5,14,10,9,11,1,12,10
ENSMUSG00000097670,0,0,0,0,0,0,0,0
ENSMUSG00000026147,1,3,1,1,2,1,5,0
ENSMUSG00000026141,1,11,5,4,4,0,2,1
ENSMUSG00000077463,0,0,0,0,0,0,0,0
ENSMUSG00000099997,6,6,3,1,8,0,1,4
ENSMUSG00000100131,0,0,0,0,0,0,0,0
ENSMUSG00000067736,0,0,0,0,0,0,0,0
ENSMUSG00000101939,67,124,71,122,76,31,36,86
ENSMUSG00000101111,0,0,0,0,1,0,0,0
ENSMUSG00000100862,1,0,0,0,1,0,0,0
ENSMUSG00000102070,3,8,5,3,1,1,1,8
ENSMUSG00000101249,2,0,1,0,0,0,0,0
ENSMUSG00000073725,478,402,425,263,634,103,260,406
ENSMUSG00000100808,0,0,0,0,0,0,0,0
ENSMUSG00000100483,0,0,0,0,0,0,0,0
ENSMUSG00000100450,3,0,0,1,0,0,0,0
ENSMUSG00000099392,0,0,0,0,0,0,0,0
ENSMUSG00000033569,455,452,518,426,578,103,276,425
ENSMUSG00000080849,0,0,0,0,0,0,0,0
ENSMUSG00000104257,0,0,0,0,0,2,1,0
ENSMUSG00000096866,0,0,2,1,0,0,2,2
ENSMUSG00000102296,0,0,0,0,3,0,0,0
ENSMUSG00000103209,1,2,2,5,1,0,1,2
ENSMUSG00000104027,2,5,0,6,2,1,2,6
ENSMUSG00000102407,2,6,0,6,9,2,0,2
ENSMUSG00000103214,3,2,1,2,9,1,1,3
ENSMUSG00000104100,2,4,1,2,4,1,7,6
ENSMUSG00000084740,0,0,0,0,0,0,0,0
ENSMUSG00000103889,2,0,1,0,1,0,1,3
ENSMUSG00000101301,0,0,0,0,1,0,0,0
ENSMUSG00000104221,1,2,0,3,3,2,0,6
ENSMUSG00000102250,1,7,6,10,4,2,3,13
ENSMUSG00000102317,2,10,6,8,11,4,2,13
ENSMUSG00000103563,3,6,1,4,0,2,0,7
ENSMUSG00000102465,7,17,11,8,14,12,12,18
ENSMUSG00000102659,3,5,5,3,3,3,7,15
ENSMUSG00000103924,8,11,11,3,8,3,10,24
ENSMUSG00000104132,2,6,5,10,7,1,3,13
ENSMUSG00000102747,0,2,2,2,5,2,4,7
ENSMUSG00000102386,1,1,1,4,2,1,0,0
ENSMUSG00000103004,0,1,0,0,2,0,0,2
ENSMUSG00000104516,3,7,8,6,9,2,3,5
ENSMUSG00000101618,0,0,0,0,0,0,0,0
ENSMUSG00000099458,0,0,0,0,0,0,0,0
ENSMUSG00000088111,0,0,0,0,0,0,0,0
ENSMUSG00000073722,0,0,0,0,0,0,0,0
ENSMUSG00000095256,0,0,0,1,0,0,0,0
ENSMUSG00000100310,0,0,0,0,0,0,0,0
ENSMUSG00000101514,1,2,1,0,0,0,1,2
ENSMUSG00000101033,0,0,0,0,0,0,0,0
ENSMUSG00000101372,0,0,0,0,0,0,0,1
ENSMUSG00000103241,0,0,0,0,0,0,0,0
ENSMUSG00000086240,0,0,0,0,0,0,0,0
ENSMUSG00000048411,0,0,0,0,0,0,0,0
ENSMUSG00000081557,0,1,0,0,0,0,0,0
ENSMUSG00000058590,0,0,0,0,0,0,0,0
ENSMUSG00000101235,0,0,0,0,0,0,0,0
ENSMUSG00000064433,0,0,0,0,0,0,0,0
ENSMUSG00000080625,0,0,0,0,0,0,0,0
ENSMUSG00000080391,0,0,0,0,0,0,0,0
ENSMUSG00000099257,0,0,0,0,0,0,0,0
ENSMUSG00000099492,3,4,4,2,7,2,5,4
ENSMUSG00000118548,0,0,0,0,0,0,0,0
ENSMUSG00000101726,0,0,0,0,1,0,0,0
ENSMUSG00000096829,0,0,0,0,0,0,0,0
ENSMUSG00000098883,0,0,0,0,0,0,0,0
ENSMUSG00000053185,0,0,0,0,0,0,0,0
ENSMUSG00000100261,0,2,2,0,1,0,0,0
ENSMUSG00000101180,0,0,0,0,0,0,0,0
ENSMUSG00000048874,511,384,558,466,525,97,273,438
ENSMUSG00000103783,4,7,3,0,9,1,1,7
ENSMUSG00000104315,0,1,2,1,5,4,2,7
ENSMUSG00000117310,1,0,0,0,0,0,1,0
