,gene_name,gene_id
355,Apol7d,ENSMUSG00000073652.10
356,Gm28818,ENSMUSG00000101211.1
357,Mreg,ENSMUSG00000039395.8
358,Pecr,ENSMUSG00000026189.13
359,Tmem169,ENSMUSG00000026188.11
360,Xrcc5,ENSMUSG00000026187.9
361,March4,ENSMUSG00000039372.5
362,Smarcal1,ENSMUSG00000039354.16
363,Gm39662,ENSMUSG00000110712.1
364,Ankar,ENSMUSG00000039342.5
365,Rpl37a,ENSMUSG00000046330.10
366,Igfbp2,ENSMUSG00000039323.18
367,Igfbp5,ENSMUSG00000026185.8
368,1700027A15Rik,ENSMUSG00000101968.6
369,Gm29185,ENSMUSG00000101112.1
370,Pinc,ENSMUSG00000099877.6
371,6030407O03Rik,ENSMUSG00000100301.6
372,Gm29183,ENSMUSG00000101344.1
373,Tns1,ENSMUSG00000055322.15
374,Rufy4,ENSMUSG00000061815.11
375,Arpc2,ENSMUSG00000006304.14
376,Gpbar1,ENSMUSG00000064272.3
377,Aamp,ENSMUSG00000006299.13
378,Pnkd,ENSMUSG00000026179.14
379,Tmbim1,ENSMUSG00000006301.17
380,Catip,ENSMUSG00000073650.8
381,Slc11a1,ENSMUSG00000026177.11
382,Ctdsp1,ENSMUSG00000026176.13
383,Vil1,ENSMUSG00000026175.12
384,Usp37,ENSMUSG00000033364.13
385,Cnot9,ENSMUSG00000026174.9
386,Plcd4,ENSMUSG00000026173.15
387,Zfp142,ENSMUSG00000026135.17
388,Bcs1l,ENSMUSG00000026172.12
389,Rnf25,ENSMUSG00000026171.12
390,Stk36,ENSMUSG00000033276.18
391,Ttll4,ENSMUSG00000033257.14
392,Cyp27a1,ENSMUSG00000026170.6
393,Prkag3,ENSMUSG00000006542.13
394,Wnt6,ENSMUSG00000033227.7
395,Gm29539,ENSMUSG00000099472.1
396,Wnt10a,ENSMUSG00000026167.14
397,Cfap65,ENSMUSG00000047021.14
398,Ihh,ENSMUSG00000006538.12
399,Nhej1,ENSMUSG00000026162.7
400,Slc23a3,ENSMUSG00000026205.8
401,Cnppd1,ENSMUSG00000033159.14
402,Retreg2,ENSMUSG00000049339.16
403,Zfand2b,ENSMUSG00000026197.12
404,Abcb6,ENSMUSG00000026198.15
405,Atg9a,ENSMUSG00000033124.16
406,Ankzf1,ENSMUSG00000026199.17
407,Glb1l,ENSMUSG00000026200.13
408,Stk16,ENSMUSG00000026201.12
409,Tuba4a,ENSMUSG00000026202.13
410,A630095N17Rik,ENSMUSG00000096094.2
411,Dnajb2,ENSMUSG00000026203.16
412,Ptprn,ENSMUSG00000026204.15
413,Resp18,ENSMUSG00000033061.15
414,Dnpep,ENSMUSG00000026209.15
415,Des,ENSMUSG00000026208.9
416,Speg,ENSMUSG00000026207.16
417,Gmppa,ENSMUSG00000033021.16
418,Asic4,ENSMUSG00000033007.15
419,Chpf,ENSMUSG00000032997.16
420,Obsl1,ENSMUSG00000026211.17
